ANO_EJE,REGION,TIPO_GOBIERNO,TIPO_GOBIERNO_NOMBRE,SECTOR,SECTOR_NOMBRE,PLIEGO,PLIEGO_NOMBRE,SEC_EJEC,EJECUTORA,EJECUTORA_NOMBRE,ALMACEN,SEC_ALMACEN,NOMBRE_ALMACEN,TIPO_TRANSAC,NOMBRE_TIPO_TRANSACCION,NRO_MOVIMTO,NRO_ORDEN,PROVEEDOR,NOMBRE_PROVEEDOR,OBSERVACION,FECHA_MOVIMTO,MES_MOVIMTO,NOMBRE_MES,TIPO_USO,NRO_GUIA,NRO_FACTURA,ESTADO_KARDEX,FECHA_REG,DOCUM_CONFIRMA,FECHA_CONFIRMA,GLOSA,TIPO_BIEN,GRUPO_BIEN,NOMBRE_GRUPO,CLASE_BIEN,NOMBRE_CLASE,FAMILIA_BIEN,NOMBRE_FAMILIA,ITEM_BIEN,NOMBRE_ITEM,UNIDAD_MEDIDA,UNIDAD_MEDIDA_DESC,MARCA,NOMBRE_MARCA,CANT_ARTICULO,PRECIO_UNIT,VALOR_TOTAL
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1726,148,HOSPITAL EMERGENCIA ATE VITARTE,1,1,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,1,0,0,B. BRAUN MEDICAL PERU SA,,29-APR-20,4,ABRIL,C,INF N° 013,INF N° 013,CON CONFORMIDAD,29-APR-20,INF N° 013,01-MAY-20,.,B,58,PRODUCTOS FARMACÉUTICOS,2,"MEDICAMENTOS ANALGÉSICOS, ANTIPIRÉTICOS, ANTIINFLAMATORIOS Y ANTIGOTOSOS",46,PARACETAMOL.,72,PARACETAMOL 10 mg/mL INY 100 mL,112,UNIDAD,328,SIN MARCA,250.0,1.7,425.0
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1726,148,HOSPITAL EMERGENCIA ATE VITARTE,1,1,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,1,0,0,B. BRAUN MEDICAL PERU SA,,29-APR-20,4,ABRIL,C,INF N° 013,INF N° 013,CON CONFORMIDAD,29-APR-20,INF N° 013,01-MAY-20,.,B,58,PRODUCTOS FARMACÉUTICOS,47,AGENTES QUE AFECTAN EL AGUA Y LOS ELECTROLITOS:  SOLUCIONES PARA DIÁLISIS EN GENERAL,5,SOLUCIÓN PARA DIÁLISIS PERITONEAL.,14,SOLUCIONES ISOTÓNICAS  INY,112,UNIDAD,328,SIN MARCA,250.0,14.41,3602.5
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1726,148,HOSPITAL EMERGENCIA ATE VITARTE,1,1,ALMACEN ESPECIALIZADO DE MEDICAMENTOS,4,NEA - DONACION,1,0,0,B. BRAUN MEDICAL PERU SA,,29-APR-20,4,ABRIL,C,INF N° 013,INF N° 013,CON CONFORMIDAD,29-APR-20,INF N° 013,01-MAY-20,.,B,58,PRODUCTOS FARMACÉUTICOS,51,"AGENTES QUE AFECTAN EL AGUA Y LOS ELECTROL.:  SOL. CORRECT DE TRAST.HÍDRICOS, ELECTROL. Y AC. BAS.",13,SAL DE REHIDRATACIÓN,4,FORMULACIONES DE SALES DE REHIDRATACION ORAL SOL 1 L,112,UNIDAD,328,SIN MARCA,250.0,4.44,1110.0
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1726,148,HOSPITAL EMERGENCIA ATE VITARTE,2,0,ALMACEN PATRIMONIO,4,NEA - DONACION,1,0,0,METAX INDUSTRIA Y COMERCIO S.A.C.,,09-OCT-20,10,OCTUBRE,C,MEMO N°217,MEMO N° 217,CON CONFORMIDAD,09-OCT-20,MEMO N° 217,09-OCT-20,.,B,53,HOSPITALIZACIÓN,64,MOBILIARIO DE HOSPITALIZACIÓN,1763,CAMA DE METAL,16,CAMA DE METAL HOSPITALARIA DOS MANIVELAS,112,UNIDAD,328,SIN MARCA,1.0,6495.0,6495.0
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,7,0,ALMACEN DE DONACIONES,4,NEA - DONACION,2,0,0,ADMINISTRACION CENTRAL - MINSA,OFICINA GENERAL DE ADMINISTRACION,13-MAY-20,5,MAYO,D,02-2020,0848-2020,CON CONFORMIDAD,13-MAY-20,PECOSA DE CONFORMIDAD N° 0848-2020,13-MAY-20,MINISTERIO DE SALUD,B,9,ALIMENTOS Y BEBIDAS PARA PERSONAS,68,PAN Y PRODUCTOS AFINES,2,PANES,1,PAN BAGUETTE,112,UNIDAD,1468, SIN  MARCA,1425.0,1e-06,0.0
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,7,0,ALMACEN DE DONACIONES,4,NEA - DONACION,3,0,0,ADMINISTRACION CENTRAL - MINSA,OFICINA GENERAL DE ADMINISTRACION,14-MAY-20,5,MAYO,D,03-2020,0858-2020,CON CONFORMIDAD,14-MAY-20,PECOSA DE CONFORMIDAD N° 3-2020,14-MAY-20,MINISTERIO DE SALUD,B,79,"EQUIPO DE CAMPAÑA, ROPA DE CAMA, COLCHONES, FUNDAS Y SIMILARES",14,"TOLDOS , FUNDAS Y SIMILARES ",1,TOLDOS,172,TOLDO DE POLIÉSTER 3.00 m X 3.00 m X 3 m APROX.,112,UNIDAD,328,SIN MARCA,2.0,1e-06,0.0
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,1,1,ALMACEN PRINCIPAL,4,NEA - DONACION,1,0,0,PATHFINDER INTERNATIONAL,RA N°046-2020-DA-DIRIS LE/MINSA,27-JUL-20,7,JULIO,C,1,RA N°046-2020,CON CONFORMIDAD,27-JUL-20,RA N°046-2020-DA-DIRISLE/MINSA,27-JUL-20,MINISTERIO DE SALUD,B,79,"EQUIPO DE CAMPAÑA, ROPA DE CAMA, COLCHONES, FUNDAS Y SIMILARES",14,"TOLDOS , FUNDAS Y SIMILARES ",8,CARPAS,93,CARPA DE LONA 2.30 m X 3.00 m X 3.00 m,112,UNIDAD,1649,AS KMW,6.0,3627.98,21767.88
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,1,1,ALMACEN PRINCIPAL,4,NEA - DONACION,1,0,0,PATHFINDER INTERNATIONAL,RA N°046-2020-DA-DIRIS LE/MINSA,27-JUL-20,7,JULIO,C,1,RA N°046-2020,CON CONFORMIDAD,27-JUL-20,RA N°046-2020-DA-DIRISLE/MINSA,27-JUL-20,MINISTERIO DE SALUD,B,79,"EQUIPO DE CAMPAÑA, ROPA DE CAMA, COLCHONES, FUNDAS Y SIMILARES",14,"TOLDOS , FUNDAS Y SIMILARES ",8,CARPAS,93,CARPA DE LONA 2.30 m X 3.00 m X 3.00 m,112,UNIDAD,1650,AS KMW*,2.0,3633.54,7267.08
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,1,1,ALMACEN PRINCIPAL,4,NEA - DONACION,1,0,0,PATHFINDER INTERNATIONAL,RA N°046-2020-DA-DIRIS LE/MINSA,27-JUL-20,7,JULIO,C,1,RA N°046-2020,CON CONFORMIDAD,27-JUL-20,RA N°046-2020-DA-DIRISLE/MINSA,27-JUL-20,MINISTERIO DE SALUD,B,51,"LABORATORIO Y GABINETE: IMPLEMENTOS, MATERIALES, REPUESTOS Y ACCESORIOS",10,LABORATORIO Y GABINETE: IMPLEMENTOS,6,"PIPETAS, MICROPIPETAS Y PIZETAS",447,MICROPIPETA VOLUMEN VARIABLE 100 µL - 1000 µL,112,UNIDAD,1657,RAININ,1.0,1194.2,1194.2
2020,LIMA,E,GOBIERNO NACIONAL,11,SALUD,11,M. DE SALUD,1686,146,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,2,0,ALMACEN PATRIMONIAL,4,NEA - DONACION,1,0,0,PATHFINDER INTERNATIONAL,RA N°046-2020-DA-DIRIS LE/MINSA,22-JUL-20,7,JULIO,C,1,RA N°046-2020,CON CONFORMIDAD,22-JUL-20,RA N°046-2020-DA-DIRISLE/MINSA,27-JUL-20,MINISTERIO DE SALUD,B,95,TELECOMUNICACIONES,22,EQUIPO DE TELECOMUNICACIONES ,8325,TELÉFONO CELULAR,1,TELEFONO CELULAR,112,UNIDAD,1651,HUAWEI,3.0,37.27,111.81
